Month,car dealer: (United States)
2004-01,85
2004-02,80
2004-03,83
2004-04,85
2004-05,87
2004-06,94
2004-07,100
2004-08,95
2004-09,88
2004-10,82
2004-11,76
2004-12,77
2005-01,70
2005-02,75
2005-03,86
2005-04,80
2005-05,68
2005-06,93
2005-07,92
2005-08,90
2005-09,88
2005-10,61
2005-11,55
2005-12,61
2006-01,61
2006-02,61
2006-03,68
2006-04,70
2006-05,78
2006-06,76
2006-07,88
2006-08,83
2006-09,68
2006-10,64
2006-11,67
2006-12,63
2007-01,69
2007-02,75
2007-03,69
2007-04,68
2007-05,76
2007-06,77
2007-07,79
2007-08,84
2007-09,63
2007-10,67
2007-11,64
2007-12,62
2008-01,68
2008-02,76
2008-03,75
2008-04,81
2008-05,78
2008-06,80
2008-07,79
2008-08,76
2008-09,62
2008-10,52
2008-11,58
2008-12,49
2009-01,61
2009-02,69
2009-03,62
2009-04,64
2009-05,71
2009-06,65
2009-07,74
2009-08,83
2009-09,55
2009-10,48
2009-11,43
2009-12,46
2010-01,52
2010-02,58
2010-03,55
2010-04,53
2010-05,57
2010-06,53
2010-07,55
2010-08,54
2010-09,47
2010-10,47
2010-11,40
2010-12,42
2011-01,55
2011-02,63
2011-03,62
2011-04,61
2011-05,61
2011-06,59
2011-07,61
