Month,Vehicle insurance: (United States)
2004-01,52
2004-02,58
2004-03,80
2004-04,78
2004-05,100
2004-06,83
2004-07,80
2004-08,68
2004-09,50
2004-10,48
2004-11,44
2004-12,37
2005-01,49
2005-02,55
2005-03,61
2005-04,75
2005-05,68
2005-06,79
2005-07,64
2005-08,68
2005-09,53
2005-10,42
2005-11,30
2005-12,35
2006-01,47
2006-02,44
2006-03,57
2006-04,71
2006-05,68
2006-06,61
2006-07,55
2006-08,53
2006-09,46
2006-10,35
2006-11,34
2006-12,26
2007-01,39
2007-02,38
2007-03,62
2007-04,61
2007-05,66
2007-06,53
2007-07,55
2007-08,48
2007-09,42
2007-10,36
2007-11,31
2007-12,30
2008-01,36
2008-02,38
2008-03,47
2008-04,57
2008-05,64
2008-06,65
2008-07,54
2008-08,46
2008-09,40
2008-10,37
2008-11,30
2008-12,25
2009-01,38
2009-02,39
2009-03,39
2009-04,43
2009-05,45
2009-06,43
2009-07,45
2009-08,41
2009-09,31
2009-10,28
2009-11,26
2009-12,24
2010-01,28
2010-02,31
2010-03,40
2010-04,42
2010-05,41
2010-06,40
2010-07,39
2010-08,35
2010-09,31
2010-10,24
2010-11,25
2010-12,19
2011-01,29
2011-02,33
2011-03,40
2011-04,41
2011-05,45
2011-06,42
2011-07,39
